solution_group,solution_priority_action_area,solution_name,sector,state,food_type,annual_tons_diversion_potential,annual_100_year_mtco2e_reduction_potential,annual_100_year_mtch4_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arizona,Fresh Meat & Seafood,2047.599969961881,21654.240564533247,312.9140456829164,2486863028.4171667,3412666.616603135,0.0,1199861.844598128,7388141.202176591,6188279.357578463
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arizona,Produce,7138.941147068041,10697.869065720964,58.747388483714346,246929836.92768,11898235.2451134,0.0,4183308.858594092,25758696.03550985,21575387.17691576
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arkansas,Breads & Bakery,349.99571145525715,682.7261996575633,8.336467206628754,5821629.745685665,583326.185758762,0.0,205092.06197925317,1262852.9860917288,1057760.9241124752
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arkansas,Dairy & Eggs,702.0850989329028,2035.307305511964,28.482672769582845,154494124.49485105,1170141.8315548382,0.0,411410.9856556476,2533260.364795265,2121849.379139617
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arkansas,Fresh Meat & Seafood,781.7349979817416,8267.180090028367,119.46467301176368,949437337.8686626,1302891.6633029028,0.0,458084.5919248319,2820652.780083729,2362568.188158897
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Arkansas,Produce,2147.769995061923,3218.4832059994046,17.67431271308189,74289517.69081591,3579616.6584365387,0.0,1258559.9266713634,7749574.245994452,6491014.319323089
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,California,Breads & Bakery,3221.565066692691,6253.755121707868,75.26485884895988,53585682.35576101,5369275.1111544855,0.0,1887787.194823384,11624036.898754274,9736249.70393089
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,California,Dairy & Eggs,5197.544197185618,15060.53700418006,210.1593475272026,1143721810.202136,8662573.66197603,0.0,3045680.337615716,18753756.10309068,15708075.76547496
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,California,Fresh Meat & Seafood,6416.281224888668,67811.83826615973,978.4076771462484,7792739203.058248,10693802.041481111,0.0,3759841.345425773,23151197.6840059,19391356.33858013
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,California,Produce,26274.054207851063,39353.59937551576,213.062289727216,908796947.2389116,43790090.346418425,0.0,15396188.5179605,94801926.78692968,79405738.26896916
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Colorado,Breads & Bakery,738.8981931952902,1441.3466761536315,17.599645809937968,12290412.595781203,1231496.988658817,0.0,432982.8882904456,2666089.2095351964,2233106.32124475
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Colorado,Dairy & Eggs,1312.3653615298583,3804.477280435545,53.24094358846741,288786555.72534925,2187275.602549764,0.0,769025.7601933933,4735270.923064444,3966245.162871051
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Colorado,Fresh Meat & Seafood,1396.317855333832,14766.6551999973,213.3851707274329,1695864085.4117131,2327196.4255563864,0.0,818220.6202988678,5038187.941816968,4219967.321518101
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Colorado,Produce,5579.735090409698,8361.36258710115,45.91645430879295,192998239.877686,9299558.484016163,0.0,3269638.2770861825,20132775.60238188,16863137.325295694
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Connecticut,Breads & Bakery,312.62715425395913,513.1293903766457,2.782488475821749,5200062.403469119,521045.25708993175,0.0,183194.66667192907,1128019.9224196563,944825.2557477272
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Connecticut,Dairy & Eggs,626.6262689906715,1789.468370895244,22.667126540352264,137889376.8865486,1044377.1149844524,0.0,367193.28092136414,2260990.146616557,1893796.8656951927
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Connecticut,Fresh Meat & Seafood,767.605015740532,7949.177402528763,108.97608108069151,932276109.6290911,1279341.6929008868,0.0,449804.6413462078,2769669.040332918,2319864.3989867102
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Connecticut,Produce,3027.859604376199,4466.878312118786,13.036296754186251,104731060.6637501,5046432.673960332,0.0,1774278.796340585,10925109.70192794,9150830.905587357
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Delaware,Breads & Bakery,96.16650018461968,187.589124827911,2.290567709621284,1599578.908225673,160277.50030769946,0.0,56352.07852743427,346987.5428335439,290635.46430610964
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Delaware,Dairy & Eggs,190.03088597347252,550.8894165145681,7.709304113593788,41816377.24554281,316718.1432891209,0.0,111355.15370172232,685668.6066335854,574313.452931863
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Delaware,Fresh Meat & Seafood,250.362562191386,2647.690579008025,38.26038453414599,304071795.6374762,417270.93698564335,0.0,146708.58082443822,903357.0953036852,756648.514479247
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Delaware,Produce,719.0179642560416,1077.4651140906872,5.916903754034621,24870213.24370145,1198363.2737600694,0.0,421333.3822755944,2594357.4549496067,2173024.0726740123
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Florida,Breads & Bakery,2172.198860033679,4017.152794490361,41.12431752252734,36131121.27727647,3620331.433389465,0.0,1272874.8628974054,7837718.369098538,6564843.506201132
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Florida,Dairy & Eggs,4512.09427713543,13016.431101784823,176.55345026764385,992888263.8924744,7520157.128559051,0.0,2644017.308940067,16280518.71754524,13636501.408605171
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Florida,Fresh Meat & Seafood,5699.129030678234,59860.75008023108,850.6838570356119,6921739347.767482,9498548.384463722,0.0,3339601.275477469,20563572.292325467,17223971.016847998
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Florida,Produce,18825.549663177768,28067.067681114622,130.72285783823625,651159578.5197922,31375916.105296284,0.0,11031480.306602392,67926265.4622595,56894785.15565711
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Georgia,Breads & Bakery,1005.106562946087,1960.6314063616217,23.94040163043128,16718371.319755014,1675177.604910145,0.0,588976.8667346814,3626621.0779531943,3037644.211218513
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Georgia,Dairy & Eggs,1920.054044505664,5566.134404076909,77.89407741695334,422508708.7584655,3200090.0741761066,0.0,1125121.909242629,6927930.555147541,5802808.645904912
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Georgia,Fresh Meat & Seafood,2374.663256307088,25113.073923706317,362.8958280749792,2884089833.797349,3957772.093845147,0.0,1391515.8609154809,8568249.512888908,7176733.651973426
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Georgia,Produce,7383.832168045927,11064.843946704274,60.76263243224725,255400406.81043607,12306386.94674321,0.0,4326811.201076308,26642310.73988177,22315499.538805462
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Hawaii,Breads & Bakery,66.20019749778942,124.97530855252022,1.3762009183400117,1101136.4605610732,110333.6624963157,0.0,38792.28963064338,238863.26133065476,200070.9717000114
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Hawaii,Dairy & Eggs,120.46069839319682,348.1514230309785,4.77938352933881,26507427.892404005,200767.83065532809,0.0,70588.10211758825,434645.7619152598,364057.6597976716
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Hawaii,Fresh Meat & Seafood,162.00058905632076,1705.998650899567,24.399850921391906,196753897.937138,270000.9817605346,0.0,94929.8341778736,584529.8126304247,489599.9784525511
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Hawaii,Produce,990.807266888244,1480.0656810765634,7.363825351570272,34271171.56442116,1651345.44481374,0.0,580597.7008838742,3575026.4208341874,2994428.719950313
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Idaho,Breads & Bakery,146.49336042160218,285.7602306606888,3.489291597504772,2436687.298338154,244155.60070267037,0.0,85842.83855997236,528576.6985024392,442733.8599424669
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Idaho,Dairy & Eggs,294.13247644009823,852.6743823458781,11.932569271280029,64723976.48402187,490220.7940668305,0.0,172357.07214051276,1061287.507308266,888930.4351677536
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Idaho,Fresh Meat & Seafood,245.13820319626728,2592.4407606180152,37.46199845617933,297726676.7554998,408563.6719937789,0.0,143647.1874308631,884506.5861646775,740859.3987338145
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Idaho,Produce,956.119443922159,1432.7671865553916,7.868046430386502,33071349.589153945,1593532.406536932,0.0,560271.1742870044,3449865.9706343813,2889594.796347377
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Illinois,Breads & Bakery,1104.1191923205954,2153.7723905465173,26.29876063543353,18365291.123339165,1840198.6538676592,0.0,646996.732852388,3983878.0116067263,3336881.2787543386
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Illinois,Dairy & Eggs,2073.2466692410985,6010.231663438315,84.10890152828216,456218810.9576735,3455411.115401831,0.0,1214890.4128519106,7480679.509670387,6265789.096818476
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Illinois,Fresh Meat & Seafood,2273.355089687379,24041.696973463528,347.41392304336193,2761048449.8653245,3788925.149478965,0.0,1332150.845552914,8202709.831847606,6870558.986294692
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Illinois,Produce,7553.139212442652,11318.554483820026,62.15588480753666,261256591.9228125,12588565.354071088,0.0,4426022.504833601,27253203.672523044,22827181.167689443
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Indiana,Breads & Bakery,785.8473464884823,1498.8589797899476,17.0747498234029,13071338.128296888,1309745.577480804,0.0,460494.3644083801,2835490.937871417,2374996.573463037
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Indiana,Dairy & Eggs,1553.5514421991577,4494.250244063908,62.06847265038613,341859655.3111146,2589252.4036652627,0.0,910357.0650813524,5605517.478116654,4695160.4130353015
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Indiana,Fresh Meat & Seafood,1562.6163662954496,16477.235375497974,236.42237759994228,1897837920.4665036,2604360.610492416,0.0,915668.970095456,5638225.497355229,4722556.527259774
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Indiana,Produce,4768.710934362344,7130.475051341169,36.61990996019394,164945611.55766806,7947851.557270574,0.0,2794390.6925168512,17206441.8110381,14412051.118521249
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Iowa,Breads & Bakery,327.3329809950775,636.9176825141863,7.719453792480861,5444670.767483143,545554.9683251292,0.0,191812.05320191,1181081.4217613223,989269.3685594124
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Iowa,Dairy & Eggs,739.6948613654969,2143.83040359289,29.95704230744161,162770168.70703313,1232824.7689424949,0.0,433449.7234898301,2668963.744121596,2235514.020631766
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Iowa,Fresh Meat & Seafood,678.3135108221784,7171.098460449892,103.5434280162873,823829271.5793146,1130522.518036964,0.0,397481.2034823788,2447487.8251691363,2050006.6216867573
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Iowa,Produce,2074.125689530093,3107.3625377728517,16.939600429425646,71742224.47449693,3456876.149216823,0.0,1215405.505116447,7483851.186809449,6268445.681693003
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kansas,Breads & Bakery,309.22877575171697,603.2033535951471,7.365448958450157,5143535.706917637,515381.2929195283,0.0,181203.269544482,1115757.9080607318,934554.63851625
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kansas,Dairy & Eggs,619.2429379466984,1795.152293369007,25.121874817195792,136264671.75147593,1032071.5632444974,0.0,362866.76337122713,2234349.6440303503,1871482.880659123
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kansas,Fresh Meat & Seafood,648.1021257196521,6853.955629321474,99.0429093327296,787136764.3753103,1080170.2095327536,0.0,379777.80008876754,2338479.238372296,1958701.438283528
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kansas,Produce,2056.56985186085,3081.817673865024,16.923813425858565,71134983.14227562,3427616.4197680843,0.0,1205118.0563577546,7420506.290576972,6215388.234219218
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kentucky,Breads & Bakery,546.545306210961,1066.129634270648,13.018036715992766,9090923.996676924,910908.843684935,0.0,320267.0779873769,1972042.3690710424,1651775.291083665
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kentucky,Dairy & Eggs,1037.3600298545236,3007.251471962659,42.08433752475186,228271515.5782612,1728933.3830908728,0.0,607876.8984142881,3742997.89533696,3135120.9969226723
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kentucky,Fresh Meat & Seafood,1085.6532572498058,11481.244943852018,165.909434420043,1318553910.305769,1809422.0954163428,0.0,636175.9811228989,3917249.305934417,3281073.3248115187
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Kentucky,Produce,3086.3371659824047,4624.947903921051,25.39791892753731,106753749.24653512,5143895.276637342,0.0,1808545.7410396163,11136108.182414183,9327562.441374566
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Louisiana,Breads & Bakery,414.0428974670537,807.6611359251604,9.861992372763396,6886954.236844189,690071.4957784228,0.0,242622.72025078276,1493947.7608518745,1251325.0406010917
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Louisiana,Dairy & Eggs,843.3228942156585,2444.7481510594744,34.212505110207,185573561.3906876,1405538.1570260976,0.0,494174.1445055155,3042873.9562882045,2548699.811782689
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Louisiana,Fresh Meat & Seafood,1253.7130980569752,13258.5492393504,191.5923243767064,1522666925.9319634,2089521.830094959,0.0,734656.4429083676,4523642.084071547,3788985.641163179
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Louisiana,Produce,3104.445615515,4652.083836000064,25.546936001304054,107380104.9480292,5174076.025858333,0.0,1819157.011784749,11201447.010340512,9382289.998555765
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maine,Breads & Bakery,194.81602994376215,333.7459432550717,2.4084326334569184,3240459.119174044,324693.38323960366,0.0,114159.1738985805,702934.3420525509,588775.1681539704
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maine,Dairy & Eggs,343.6408392247398,984.7890966728164,12.781158310085278,75618312.76207702,572734.732041233,0.0,201368.20535268955,1239923.3640710136,1038555.158718324
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maine,Fresh Meat & Seafood,400.3391014800819,4166.24250605678,57.84389041315163,486222174.69513744,667231.8358001366,0.0,234592.50821125507,1444501.7844683852,1209909.27625713
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maine,Produce,1356.5889195127986,2008.6448370856288,7.076046817513661,46923244.466130674,2260981.532521331,0.0,794940.0797062475,4894838.170394834,4099898.090688587
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maryland,Breads & Bakery,495.61376490298267,903.3554186717688,8.74604594901712,8243757.685297571,826022.9415049712,0.0,290421.98421979195,1788271.4058223767,1497849.421602585
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maryland,Dairy & Eggs,971.2992023917534,2798.3741635103424,37.638110011277554,213734802.41089985,1618832.0039862555,0.0,569166.2774639304,3504637.508353434,2935471.230889504
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maryland,Fresh Meat & Seafood,1219.8418560047012,12789.519537564976,180.94010005148843,1481529427.9723706,2033069.7600078357,0.0,714808.4200699868,4401428.017531997,3686619.5974620096
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Maryland,Produce,4256.506396436987,6337.507223127243,28.117978663881395,147228896.93319318,7094177.32739498,0.0,2494246.7724629305,15358307.650995797,12864060.878532864
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Massachusetts,Breads & Bakery,753.0841380726894,1294.1201946116323,9.502330577236442,12526373.540346894,1255140.2301211488,0.0,441295.6321064558,2717274.8734236704,2275979.2413172144
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Massachusetts,Dairy & Eggs,1413.911061603918,4052.963020105103,52.69445423479648,311131730.19636863,2356518.43600653,0.0,828529.9664784411,5101667.671270586,4273137.704792145
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Massachusetts,Fresh Meat & Seafood,1624.894558144083,16916.0327988856,235.0782407373913,1973476392.3638835,2708157.5969068054,0.0,952163.0252067816,5862937.395159424,4910774.369952643
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Massachusetts,Produce,6935.483129985758,10271.842634504708,36.641553636684286,239892399.0297096,11559138.549976263,0.0,4064085.61418314,25024579.713488843,20960494.099305704
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Michigan,Breads & Bakery,1055.8375692605894,2031.572506329748,23.797450486518997,17562202.04602615,1759729.2821009825,0.0,618704.4501043819,3809668.471720754,3190964.0216163723
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Michigan,Dairy & Eggs,1959.7252996137568,5673.871635548174,78.76451834139154,431238385.3102853,3266208.8326895945,0.0,1148368.6498315174,7071072.203275038,5922703.55344352
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Michigan,Fresh Meat & Seafood,1920.1107335651525,20269.81285859354,291.64373296341284,2332024059.298574,3200184.5559419207,0.0,1125155.128152809,6928135.100362555,5802979.972209746
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Michigan,Produce,6636.377572979146,9931.521114668012,52.377846377159045,229546594.95396945,11060629.288298575,0.0,3888814.3939133994,23945348.358762037,20056533.964848638
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Minnesota,Breads & Bakery,493.9267957420537,896.9749896733908,8.556850453808046,8215697.599056845,823211.3262367563,0.0,289433.44643950945,1782184.4911185768,1492751.044679067
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Minnesota,Dairy & Eggs,1015.9217067139974,2925.9842450675906,39.27063194679259,223554003.45719868,1693202.844523329,0.0,595314.3733479484,3665644.232109936,3070329.858761987
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Minnesota,Fresh Meat & Seafood,899.7179835857175,9428.88289772972,133.2446488501902,1092730719.96725,1499529.9726428627,0.0,527220.7927524849,3246358.4696148583,2719137.676862373
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Minnesota,Produce,3459.807349755741,5149.561547229027,22.56136794011346,119671761.83084887,5766345.582926235,0.0,2027393.479942943,12483661.656236326,10456268.176293384
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Mississippi,Breads & Bakery,289.83505189105483,565.3725946594316,6.903514318432454,4820951.526564679,483058.4198184248,0.0,169838.84796485383,1045781.5589590758,875942.710994222
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Mississippi,Dairy & Eggs,519.6897016664251,1506.5527640575856,21.08313043074788,114357939.78532755,866149.5027773753,0.0,304530.10998614924,1875142.094918108,1570611.9849319584
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Mississippi,Fresh Meat & Seafood,659.9594796226781,6979.352189998172,100.85494910383736,801537826.8234808,1099932.4660377968,0.0,386726.02568695525,2381262.8905528365,1994536.8648658812
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Mississippi,Produce,1645.5415339224403,2465.882195896484,13.541401416249476,56917866.98592879,2742569.223204067,0.0,964261.8329847744,5937435.7223162,4973173.889331426
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Missouri,Breads & Bakery,570.4560936905252,1112.7716945372335,13.587562253546496,9488642.446011685,950760.1561508754,0.0,334278.4288331956,2058317.1672473408,1724038.7384141453
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Missouri,Dairy & Eggs,1194.2195631324123,3461.978903872156,48.44792331219296,262788522.56113452,1990365.9385540208,0.0,699794.1535923651,4308977.7731282925,3609183.619535928
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Missouri,Fresh Meat & Seafood,1277.396779024209,13509.014238687005,195.2116624001673,1551431367.9315093,2128994.631707015,0.0,748534.7128581117,4609097.437529323,3860562.724671211
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Missouri,Produce,3719.987134113935,5574.487093686384,30.612316983725893,128671156.89517637,6199978.556856559,0.0,2179854.800790187,13422441.209366512,11242586.408576325
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Montana,Breads & Bakery,84.91072812856724,165.63282585473667,2.02246906852532,1412356.7930182724,141517.88021427873,0.0,49756.37056705441,306374.5156262925,256618.1450592381
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Montana,Dairy & Eggs,161.20544765080007,467.3260061930984,6.539893840633505,35473327.28819395,268675.7460846668,0.0,94463.89363893024,581660.7869096472,487196.8932707169
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Montana,Fresh Meat & Seafood,149.78616046168244,1584.0523537101983,22.89030774807449,181919159.0570564,249643.60076947077,0.0,87772.36834505876,540457.7651187365,452685.3967736778
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Montana,Produce,531.3992524295035,796.3141181584879,4.3729619952467,18380643.297472723,885665.4207158391,0.0,311391.7252352764,1917392.444459424,1606000.7192241475
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nebraska,Breads & Bakery,191.97665028786764,374.4831281762159,4.572647598763046,3193230.491727951,319961.0838131128,0.0,112495.34143061098,692689.3048714227,580193.9634408117
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nebraska,Dairy & Eggs,424.5516737690864,1230.752688673903,17.22350526470755,93422776.30086409,707586.1229484773,0.0,248780.7002777412,1531865.481266253,1283084.7809885116
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nebraska,Fresh Meat & Seafood,403.26077443573337,4264.654203933162,61.62627575944947,489770621.93147504,672101.2907262223,0.0,236304.563277336,1455043.7519716057,1218739.1886942696
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nebraska,Produce,1372.7735378367292,2057.13302044734,11.296753771471968,47483056.50003523,2287955.896394549,0.0,804424.0151824871,4953235.439018921,4148811.423836434
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nevada,Breads & Bakery,354.54639771926475,691.6030876798238,8.444858954201367,5897323.274636851,590910.6628654413,0.0,207758.6935943245,1279272.752246501,1071514.0586521763
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nevada,Dairy & Eggs,590.4646312253151,1711.7255150492283,23.954376611559915,129931993.12302768,984107.7187088586,0.0,346003.1216962507,2130511.884342805,1784508.762646554
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nevada,Fresh Meat & Seafood,735.1350704592707,7774.366036666084,112.3432762235724,892840522.7765476,1225225.1174321177,0.0,430777.7566955405,2652511.12663683,2221733.369941289
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,Nevada,Produce,2613.4158889757487,3916.264389715504,21.506180725726438,90395808.84540932,4355693.148292914,0.0,1531421.20299351,9429715.711572386,7898294.508578876
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Hampshire,Breads & Bakery,249.47223358911785,453.5840720719048,4.347957021855234,4149579.346976413,415787.0559818631,0.0,146186.8620636024,900144.6155584271,753957.7534948246
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Hampshire,Dairy & Eggs,441.16732704455785,1270.751816324975,17.06698274816418,97079057.86787865,735278.8784075964,0.0,258517.21555454173,1591818.0083059347,1333300.7927513933
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Hampshire,Fresh Meat & Seafood,502.5831607687748,5267.754352732365,74.46876219755589,610400224.436502,837638.6012812911,0.0,294505.9421715101,1813418.3493199851,1518912.4071484753
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Hampshire,Produce,1747.1583250530766,2600.747213431852,11.441218569480252,60432704.43115799,2911930.541755128,0.0,1023807.6975270648,6304088.980959881,5280281.283432817
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Jersey,Breads & Bakery,700.8889460585832,1288.216854234167,12.884870714428889,11658188.381312622,1168148.243430972,0.0,410710.05861166585,2528944.411257217,2118234.352645552
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Jersey,Dairy & Eggs,1446.3071574443393,4169.989453017741,56.35873040271348,318260504.8584776,2410511.929073899,0.0,847513.5765014426,5218559.121739171,4371045.545237729
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Jersey,Fresh Meat & Seafood,1880.8520572995544,19740.32601987239,279.99611770399474,2284343383.3942213,3134753.4288325906,0.0,1102150.1523706508,6786482.117399199,5684331.965028549
Prevention,Enhance Product Distribution,Decreased Transit Time,Retail,New Jersey,Produce,6747.150975472465,10053.57627135883,45.878231396207774,233378151.7142929,11245251.625787444,0.0,3953725.8907867447,24345040.46223546,20391314.57144871
